date,event,scope
2026-01-01,New Year's Day,National holiday
2026-01-06,Day of the Holy Kings,Observance
2026-02-02,Candlemas,Observance
2026-02-02,Constitution Day,National holiday
2026-02-05,Constitution Day,Observance
2026-02-14,Valentine's Day,Observance
2026-02-18,Ash Wednesday,"Observance, Christian"
2026-02-24,Flag Day,Observance
2026-03-16,Benito Juárez's Birthday Memorial,National holiday
2026-03-18,Oil Expropriation Day,Observance
2026-03-20,March Equinox,Season
2026-03-21,Benito Juárez's Birthday Memorial,Observance
2026-03-29,Palm Sunday,"Observance, Christian"
2026-04-02,Maundy Thursday,"National holiday, Christian"
2026-04-03,Good Friday,"National holiday, Christian"
2026-04-04,Holy Saturday,Observance
2026-04-05,Easter Sunday,"Observance, Christian"
2026-04-30,Children's Day,Observance
2026-05-01,Labor Day,National holiday
2026-05-05,Battle of Puebla (Cinco de Mayo),Common local holiday
2026-05-10,Mother's Day,Observance
2026-05-14,Ascension Day,Observance
2026-05-15,Teacher's Day,Observance
2026-05-24,Pentecost Sunday,Observance
2026-06-04,Corpus Christi,Observance
2026-06-21,Father's Day,Observance
2026-06-21,June Solstice,Season
2026-08-15,Assumption of Mary,Observance
2026-09-15,Shout of Dolores,Observance
2026-09-16,Independence Day,National holiday
2026-09-22,September Equinox,Season
2026-10-12,Day of Race,Observance
2026-10-31,Halloween,Observance
2026-11-01,All Saints' Day,Observance
2026-11-02,All Souls' Day,Observance
2026-11-16,Revolution Day Memorial,National holiday
2026-11-22,Christ the King Day,Observance
2026-12-08,Feast of the Immaculate Conception,Observance
2026-12-12,Day of the Virgin of Guadalupe,"National holiday, Christian"
2026-12-21,December Solstice,Season
2026-12-24,Christmas Eve,"Observance, Christian"
2026-12-25,Christmas Day,"National holiday, Christian"
2026-12-28,Day of the Holy Innocents,Observance
2026-12-31,New Year's Eve,Observance
