fecha,product_name,category_off,ventas,precio
2022-12-01,Néctar de durazno 1 L,juice-box,10,33.72
2022-12-01,Arroz blanco 500 g,rice-white-dry,3,45.84
2022-12-01,Betabel,fruits-vegetables,33,30.22
2022-12-01,Queso gouda 300 g,cheese-hard,8,77.62
2022-12-01,Sal fina 750 g,salt,3,33.89
2022-12-01,Carne deshebrada enlatada 300 g,canned-meat,1,52.32
2022-12-01,Refresco limón 600 ml,soft-drinks,2,28.75
2022-12-01,Cereal de avena 450 g,cereal-box,0,52.2
2022-12-01,Verdolaga,fruits-vegetables,2,28.16
2022-12-01,Jugo de naranja 1 L,juice-box,10,33.59
2022-12-01,Cucharas de plástico pastelero 50 pzas,disposable-cutlery,4,42.89
2022-12-01,Mandarina,fruits-vegetables,114,25.11
2022-12-01,Frijoles refritos 430 g,canned-beans,6,56.83
2022-12-01,Lechuga,fruits-vegetables,30,15.42
2022-12-01,Frijoles refritos 430 g,canned-beans,26,55.27
2022-12-01,Pasta fusilli 500 g,pasta-dry,3,45.42
2022-12-01,Sal yodada 1 kg,salt,0,47.41
2022-12-01,Piña,fruits-vegetables,35,24.98
2022-12-01,Mayonesa McCormick 390 g,condiments,6,48.37
2022-12-01,Azúcar blanca 1 kg,sugar-white,4,44.37
2022-12-01,Aguacate criollo,avocado,19,62.76
2022-12-01,Sal fina 750 g,salt,4,41.38
2022-12-01,Manzana,fruits-vegetables,29,33.13
2022-12-01,Helado vainilla 1 L,ice-cream,5,77.89
2022-12-01,Yoghurt griego 150 g,yogurt,4,49.02
2022-12-01,Pan multigrano 680 g,bread-packaged,5,32.31
2022-12-01,Aceite vegetal 1 L,oil-vegetable,3,31.43
2022-12-01,Tomate triturado 400 g,canned-tomato,0,49.36
2022-12-01,Café molido 500 g,coffee-ground,4,14.78
2022-12-01,Chuleta de cerdo 1 kg,pork-fresh,21,29.59
2022-12-01,Bistec de res 1 kg,beef-fresh,14,44.65
2022-12-01,Huevo blanco 12 pzas,eggs,5,35.05
2022-12-01,Jitomate bola fresco,fresh-tomato,10,59.31
2022-12-01,Refresco cola 600 ml,soft-drinks,4,43.73
2022-12-01,Chile poblano,fruits-vegetables,11,31.79
2022-12-01,Té negro 20 sobres,tea-bags,8,57.31
2022-12-01,Papel Higiénico 4 rollos,toilet-paper,10,40.48
2022-12-01,Frijol pinto 1 kg,beans-dry,1,28.84
2022-12-01,Vasos desechables plástico 500 ml 20 pzas,disposable-cups,7,53.68
2022-12-01,Papas fritas clásicas 170 g,chips,5,34.95
2022-12-01,Carne deshebrada enlatada 300 g,canned-meat,2,10.6
2022-12-01,Té verde 25 sobres,tea-bags,3,21.98
2022-12-01,Pasta dental 75 ml,toothpaste,3,16.69
2022-12-01,Aguacate criollo,avocado,18,64.17
2022-12-01,Sal fina 750 g,salt,4,18.49
2022-12-01,Refresco limón 600 ml,soft-drinks,11,40.37
2022-12-01,Azúcar estándar 2 kg,sugar-white,7,14.64
2022-12-01,Jitomate bola fresco,fresh-tomato,18,38.17
2022-12-01,Pasta espagueti 500 g,pasta-dry,6,58.29
2022-12-01,Agua purificada 1.5 L,bottled-water,4,44.51
2022-12-01,Tortillas de harina 1 kg,tortillas-flour,15,75.61
2022-12-01,Queso cottage 200 g,cheese-fresh,13,24.77
2022-12-01,Chícharo,fruits-vegetables,6,29.3
2022-12-01,Refresco Coca-Cola 2.5 L,soda,0,13.24
2022-12-01,Café molido 500 g,coffee-ground,1,35.93
2022-12-01,Zanahoria,fruits-vegetables,54,16.05
2022-12-01,Sardinas en salsa 155 g,canned-fish,5,41.49
2022-12-01,Totopos 200 g,chips,2,34.59
2022-12-01,Galletas de chocolate 110 g,cookies,3,34.77
2022-12-01,Café molido 500 g,coffee-ground,1,55.69
2022-12-01,Salsa Catsup 340 g,condiments,6,50.56
2022-12-01,Galletas Marías 170 g,cookies,2,58.25
2022-12-01,Plato unicel hondo pozolero 20 pzas,disposable-plates,5,40.98
2022-12-01,Tequila José Cuervo Especial 990 ml,tequila,0,53.6
2022-12-01,Frijoles refritos 430 g,canned-beans,10,21.87
2022-12-01,Ciruela,fruits-vegetables,9,30.48
2022-12-01,Leche descremada UHT 1L,milk-uht,5,56.86
2022-12-01,Queso fresco 250 g,cheese-fresh,16,67.73
2022-12-01,Leche descremada UHT 1L,milk-uht,4,52.4
2022-12-01,Carne deshebrada enlatada 300 g,canned-meat,2,28.62
2022-12-01,Plato unicel pastelero No. 6 20 pzas,disposable-plates,12,17.53
2022-12-01,Mango,fruits-vegetables,4,16.2
2022-12-01,Pasta fusilli 500 g,pasta-dry,5,32.95
2022-12-01,Lomo de cerdo 1 kg,pork-fresh,12,64.4
2022-12-01,Arroz blanco 500 g,rice-white-dry,2,26.24
2022-12-01,Tortillas de maíz 500 g,tortillas-corn,15,25.21
2022-12-01,Jugo de naranja 1 L,juice-box,2,26.84
2022-12-01,Chuleta de cerdo 1 kg,pork-fresh,4,50.45
2022-12-01,Café molido 500 g,coffee-ground,0,47.91
2022-12-01,Salsa verde 210 g,salsa-jarred,9,37.38
2022-12-01,Yoghurt natural 125 g,yogurt,10,35.55
2022-12-01,Aceite vegetal 1 L,oil-vegetable,3,58.19
2022-12-01,Atún en agua 140 g,canned-fish,9,51.16
2022-12-01,Helado vainilla 1 L,ice-cream,24,46.82
2022-12-01,Agua mineral 600 ml,bottled-water,3,34.25
2022-12-01,Frijol pinto 1 kg,beans-dry,3,10.27
2022-12-01,Uva,fruits-vegetables,54,34.97
2022-12-01,Frijol pinto 1 kg,beans-dry,2,34.34
2022-12-01,Galletas Marías 170 g,cookies,0,60.52
2022-12-01,Queso gouda 300 g,cheese-hard,1,62.84
2022-12-01,Galletas de chocolate 110 g,cookies,7,24.79
2022-12-01,Chuleta de cerdo 1 kg,pork-fresh,16,74.75
2022-12-01,Verduras mixtas congeladas 1 kg,frozen-vegetables,7,46.59
2022-12-01,Frijoles enteros 560 g,canned-beans,12,40.84
2022-12-01,Refresco limón 600 ml,soft-drinks,0,43.26
2022-12-01,Té negro 20 sobres,tea-bags,5,49.77
2022-12-01,Berro,fruits-vegetables,8,30.21
2022-12-01,Bistec de res 1 kg,beef-fresh,5,56.5
2022-12-01,Tejocote,fruits-vegetables,52,33.79
2022-12-01,Té verde 25 sobres,tea-bags,5,34.85
2022-12-01,Nopal,fruits-vegetables,12,15.08
2022-12-01,Azúcar blanca 1 kg,sugar-white,3,56.96
2022-12-01,Plato unicel plano grande No. 9 25 pzas,disposable-plates,6,20.11
2022-12-01,Atún en aceite 140 g,canned-fish,5,47.07
2022-12-01,Plato térmico unicel No. 8 25 pzas,disposable-plates,5,41.68
2022-12-01,Refresco cola 600 ml,soft-drinks,1,42.1
2022-12-01,Chile verde (jalapeño/serrano),fruits-vegetables,9,27.16
2022-12-01,Sandía,fruits-vegetables,12,17.77
2022-12-01,Café molido 250 g,coffee-ground,1,38.67
2022-12-01,Frijol negro 1 kg,beans-dry,8,13.56
2022-12-01,Salsa verde 210 g,salsa-jarred,0,21.81
2022-12-01,Néctar de durazno 1 L,juice-box,5,39.24
2022-12-01,Pañales etapa 4 40 pzas,baby-products,1,40.47
2022-12-01,Aceite vegetal 1 L,oil-vegetable,5,43.82
2022-12-01,Coliflor,fruits-vegetables,28,31.15
2022-12-01,Helado vainilla 1 L,ice-cream,15,69.17
2022-12-01,Vaso unicel térmico 1 L (Litro) 10 pzas,disposable-cups,4,17.27
2022-12-01,Lima,fruits-vegetables,37,29.36
2022-12-01,Jamón enlatado 200 g,canned-meat,8,21.78
2022-12-01,Diezmillo de res 1 kg,beef-fresh,13,59.65
2022-12-01,Jitomate saladet fresco,fresh-tomato,16,70.22
2022-12-01,Queso manchego 200 g,cheese-hard,8,39.68
2022-12-01,Helado vainilla 1 L,ice-cream,8,48.64
2022-12-01,Café molido 250 g,coffee-ground,0,44.05
2022-12-01,Agua purificada 1.5 L,bottled-water,1,17.26
2022-12-01,Tortillas de harina 1 kg,tortillas-flour,16,50.61
2022-12-01,Huevo blanco 12 pzas,eggs,16,63.67
2022-12-01,Café molido 500 g,coffee-ground,1,40.73
2022-12-01,Toallas femeninas flujo abundante 10 pzas,personal-care,1,51.6
2022-12-01,Queso cheddar 200 g,cheese-hard,24,55.02
2022-12-01,Acelga,fruits-vegetables,51,33.94
2022-12-01,Té negro 20 sobres,tea-bags,2,22.16
2022-12-01,Brócoli congelado 500 g,frozen-vegetables,3,77.51
2022-12-01,Aguacate Hass,avocado,13,38.22
2022-12-01,Tortillas de maíz 1 kg,tortillas-corn,12,22.76
2022-12-01,Frijol negro 1 kg,beans-dry,2,33.53
2022-12-01,Charola unicel para carne 50 pzas,disposable-trays,0,37.81
2022-12-01,Atún en aceite 140 g,canned-fish,5,19.43
2022-12-01,Agua purificada 1.5 L,bottled-water,2,38.39
2022-12-01,Leche Condensada La Lechera 387 g,canned-milk,1,35.43
2022-12-01,Arroz blanco 1 kg,rice-white-dry,9,19.15
2022-12-01,Plátano,fruits-vegetables,153,29.35
2022-12-01,Huevo blanco 12 pzas,eggs,7,36.95
2022-12-01,Pepino,fruits-vegetables,53,20.82
2022-12-01,Queso manchego 200 g,cheese-hard,20,64.43
2022-12-01,Queso cheddar 200 g,cheese-hard,27,32.0
2022-12-01,Jitomate bola fresco,fresh-tomato,6,80.22
2022-12-01,Ejote,fruits-vegetables,10,32.55
2022-12-01,Higo,fruits-vegetables,11,34.91
2022-12-01,Cereal de avena 450 g,cereal-box,1,37.64
2022-12-01,Totopos 200 g,chips,3,33.51
2022-12-01,Sal yodada 1 kg,salt,3,31.66
2022-12-01,Carne deshebrada enlatada 300 g,canned-meat,2,35.28
2022-12-01,Carne deshebrada enlatada 300 g,canned-meat,3,16.69
2022-12-01,Tortillas de harina 1 kg,tortillas-flour,7,26.86
2022-12-01,Tapa para vaso unicel 1 L 50 pzas,disposable-lids,0,18.69
2022-12-01,Brócoli congelado 500 g,frozen-vegetables,4,29.86
2022-12-01,Diezmillo de res 1 kg,beef-fresh,4,77.47
2022-12-01,Papas fritas clásicas 170 g,chips,3,14.99
2022-12-01,Refresco limón 600 ml,soft-drinks,1,17.32
2022-12-01,Cereal de maíz 500 g,cereal-box,7,12.0
2022-12-01,Jitomate saladet fresco,fresh-tomato,14,25.38
2022-12-01,Atún en agua 140 g,canned-fish,0,34.03
2022-12-01,Queso gouda 300 g,cheese-hard,18,44.97
2022-12-01,Berenjena,fruits-vegetables,7,20.14
2022-12-01,Puré de tomate 210 g,canned-tomato,5,24.96
2022-12-01,Tuna,fruits-vegetables,6,15.08
2022-12-01,Huevo orgánico 18 pzas,eggs,12,62.28
2022-12-01,Frijoles enteros 560 g,canned-beans,17,25.03
2022-12-01,Tortillas de maíz 500 g,tortillas-corn,12,69.62
2022-12-01,Tenedores de plástico blanco 50 pzas,disposable-cutlery,1,60.49
2022-12-01,Yoghurt natural 125 g,yogurt,6,68.24
2022-12-01,Leche semidescremada UHT 1L,milk-uht,4,18.71
2022-12-01,Vasos desechables unicel 500 ml 20 pzas,disposable-cups,6,15.37
2022-12-01,Leche descremada UHT 1L,milk-uht,5,31.53
2022-12-01,Pasta espagueti 500 g,pasta-dry,8,48.31
2022-12-01,Ajo,fruits-vegetables,43,29.54
2022-12-01,Chayote,fruits-vegetables,17,31.92
2022-12-01,Té negro 20 sobres,tea-bags,1,51.93
2022-12-01,Jitomate (tomate rojo),fruits-vegetables,143,21.34
2022-12-01,Sal yodada 1 kg,salt,3,20.78
2022-12-01,Café molido 250 g,coffee-ground,1,16.58
2022-12-01,Leche semidescremada UHT 1L,milk-uht,3,58.62
2022-12-01,Queso panela 400 g,cheese-fresh,20,46.34
2022-12-01,Brócoli congelado 500 g,frozen-vegetables,16,30.7
2022-12-01,Papas fritas clásicas 170 g,chips,0,11.31
2022-12-01,Refresco cola 600 ml,soft-drinks,1,14.13
