fecha,product_name,category_off,perecedero,ventas,precio,en_promocion,en_temporada,temp_inicio_mes,temp_fin_mes
2022-12-01,Néctar de durazno 1 L,juice-box,0,10,33.72,0,0,7.0,9.0
2022-12-02,Néctar de durazno 1 L,juice-box,0,5,33.66,0,0,7.0,9.0
2022-12-03,Néctar de durazno 1 L,juice-box,0,7,31.48,0,0,7.0,9.0
2022-12-04,Néctar de durazno 1 L,juice-box,0,11,32.3,0,0,7.0,9.0
2022-12-05,Néctar de durazno 1 L,juice-box,0,8,33.01,0,0,7.0,9.0
2022-12-06,Néctar de durazno 1 L,juice-box,0,2,31.45,0,0,7.0,9.0
2022-12-07,Néctar de durazno 1 L,juice-box,0,4,33.37,0,0,7.0,9.0
2022-12-08,Néctar de durazno 1 L,juice-box,0,9,31.81,0,0,7.0,9.0
2022-12-09,Néctar de durazno 1 L,juice-box,0,9,31.24,0,0,7.0,9.0
2022-12-10,Néctar de durazno 1 L,juice-box,0,6,29.44,0,0,7.0,9.0
2022-12-11,Néctar de durazno 1 L,juice-box,0,10,30.33,0,0,7.0,9.0
2022-12-12,Néctar de durazno 1 L,juice-box,0,9,30.52,0,0,7.0,9.0
2022-12-13,Néctar de durazno 1 L,juice-box,0,5,30.9,0,0,7.0,9.0
2022-12-14,Néctar de durazno 1 L,juice-box,0,2,32.36,0,0,7.0,9.0
2022-12-15,Néctar de durazno 1 L,juice-box,0,13,32.32,0,0,7.0,9.0
2022-12-16,Néctar de durazno 1 L,juice-box,0,6,31.27,0,0,7.0,9.0
2022-12-17,Néctar de durazno 1 L,juice-box,0,14,26.8,1,0,7.0,9.0
2022-12-18,Néctar de durazno 1 L,juice-box,0,9,32.37,0,0,7.0,9.0
2022-12-19,Néctar de durazno 1 L,juice-box,0,3,30.28,0,0,7.0,9.0
2022-12-20,Néctar de durazno 1 L,juice-box,0,6,30.17,0,0,7.0,9.0
2022-12-21,Néctar de durazno 1 L,juice-box,0,7,29.18,0,0,7.0,9.0
2022-12-22,Néctar de durazno 1 L,juice-box,0,5,25.7,1,0,7.0,9.0
2022-12-23,Néctar de durazno 1 L,juice-box,0,10,27.85,0,0,7.0,9.0
2022-12-24,Néctar de durazno 1 L,juice-box,0,10,32.94,0,0,7.0,9.0
2022-12-25,Néctar de durazno 1 L,juice-box,0,11,28.35,0,0,7.0,9.0
2022-12-26,Néctar de durazno 1 L,juice-box,0,2,30.48,0,0,7.0,9.0
2022-12-27,Néctar de durazno 1 L,juice-box,0,2,31.85,0,0,7.0,9.0
2022-12-28,Néctar de durazno 1 L,juice-box,0,5,33.06,0,0,7.0,9.0
2022-12-29,Néctar de durazno 1 L,juice-box,0,0,31.61,0,0,7.0,9.0
2022-12-30,Néctar de durazno 1 L,juice-box,0,9,32.4,0,0,7.0,9.0
2022-12-31,Néctar de durazno 1 L,juice-box,0,4,31.64,0,0,7.0,9.0
2023-01-01,Néctar de durazno 1 L,juice-box,0,2,29.36,0,0,7.0,9.0
2023-01-02,Néctar de durazno 1 L,juice-box,0,4,33.43,0,0,7.0,9.0
2023-01-03,Néctar de durazno 1 L,juice-box,0,8,30.47,0,0,7.0,9.0
2023-01-04,Néctar de durazno 1 L,juice-box,0,5,32.49,0,0,7.0,9.0
2023-01-05,Néctar de durazno 1 L,juice-box,0,3,34.71,0,0,7.0,9.0
2023-01-06,Néctar de durazno 1 L,juice-box,0,8,31.82,0,0,7.0,9.0
2023-01-07,Néctar de durazno 1 L,juice-box,0,8,32.76,0,0,7.0,9.0
2023-01-08,Néctar de durazno 1 L,juice-box,0,6,30.21,0,0,7.0,9.0
2023-01-09,Néctar de durazno 1 L,juice-box,0,7,31.02,0,0,7.0,9.0
2023-01-10,Néctar de durazno 1 L,juice-box,0,5,30.12,0,0,7.0,9.0
