event,date,producto_relacionado
New Year's Day,2025-01-01,Aguacate Hass
New Year's Day,2025-01-01,Lima
New Year's Day,2025-01-01,Refresco limón 600 ml
New Year's Day,2025-01-01,Mandarina
New Year's Day,2025-01-01,Jugo de naranja 1 L
New Year's Day,2025-01-01,Papaya
New Year's Day,2025-01-01,Piña
New Year's Day,2025-01-01,Plátano
New Year's Day,2025-01-01,Tamarindo
New Year's Day,2025-01-01,Toronja (pomelo)
New Year's Day,2025-01-01,Zapote negro
New Year's Day,2025-01-01,Acelga
New Year's Day,2025-01-01,Ajo
New Year's Day,2025-01-01,Berenjena
New Year's Day,2025-01-01,Betabel
New Year's Day,2025-01-01,Calabacita
New Year's Day,2025-01-01,Cebolla
New Year's Day,2025-01-01,Chile verde (jalapeño/serrano)
New Year's Day,2025-01-01,Col (repollo)
New Year's Day,2025-01-01,Coliflor
New Year's Day,2025-01-01,Espinaca
New Year's Day,2025-01-01,Jitomate (tomate rojo)
New Year's Day,2025-01-01,Lechuga
New Year's Day,2025-01-01,Papas fritas clásicas 170 g
New Year's Day,2025-01-01,Pepino
New Year's Day,2025-01-01,Tomate verde (tomatillo)
New Year's Day,2025-01-01,Zanahoria
Day of the Holy Kings,2025-01-06,Aguacate Hass
Day of the Holy Kings,2025-01-06,Lima
Day of the Holy Kings,2025-01-06,Refresco limón 600 ml
Day of the Holy Kings,2025-01-06,Mandarina
Day of the Holy Kings,2025-01-06,Jugo de naranja 1 L
Day of the Holy Kings,2025-01-06,Papaya
Day of the Holy Kings,2025-01-06,Piña
Day of the Holy Kings,2025-01-06,Plátano
Day of the Holy Kings,2025-01-06,Tamarindo
Day of the Holy Kings,2025-01-06,Toronja (pomelo)
Day of the Holy Kings,2025-01-06,Zapote negro
Day of the Holy Kings,2025-01-06,Acelga
Day of the Holy Kings,2025-01-06,Ajo
Day of the Holy Kings,2025-01-06,Berenjena
Day of the Holy Kings,2025-01-06,Betabel
Day of the Holy Kings,2025-01-06,Calabacita
Day of the Holy Kings,2025-01-06,Cebolla
Day of the Holy Kings,2025-01-06,Chile verde (jalapeño/serrano)
Day of the Holy Kings,2025-01-06,Col (repollo)
Day of the Holy Kings,2025-01-06,Coliflor
Day of the Holy Kings,2025-01-06,Espinaca
Day of the Holy Kings,2025-01-06,Jitomate (tomate rojo)
Day of the Holy Kings,2025-01-06,Lechuga
Day of the Holy Kings,2025-01-06,Papas fritas clásicas 170 g
Day of the Holy Kings,2025-01-06,Pepino
Day of the Holy Kings,2025-01-06,Tomate verde (tomatillo)
Day of the Holy Kings,2025-01-06,Zanahoria
Candlemas,2025-02-02,Aguacate Hass
Candlemas,2025-02-02,Lima
Candlemas,2025-02-02,Refresco limón 600 ml
Candlemas,2025-02-02,Mandarina
Candlemas,2025-02-02,Jugo de naranja 1 L
Candlemas,2025-02-02,Papaya
Candlemas,2025-02-02,Piña
Candlemas,2025-02-02,Plátano
Candlemas,2025-02-02,Tamarindo
Candlemas,2025-02-02,Toronja (pomelo)
Candlemas,2025-02-02,Acelga
Candlemas,2025-02-02,Ajo
Candlemas,2025-02-02,Berenjena
Candlemas,2025-02-02,Betabel
Candlemas,2025-02-02,Calabacita
Candlemas,2025-02-02,Cebolla
Candlemas,2025-02-02,Chile verde (jalapeño/serrano)
Candlemas,2025-02-02,Col (repollo)
Candlemas,2025-02-02,Coliflor
Candlemas,2025-02-02,Ejote
Candlemas,2025-02-02,Espinaca
Candlemas,2025-02-02,Jitomate (tomate rojo)
Candlemas,2025-02-02,Lechuga
Candlemas,2025-02-02,Papas fritas clásicas 170 g
Candlemas,2025-02-02,Pepino
Candlemas,2025-02-02,Tomate verde (tomatillo)
Candlemas,2025-02-02,Zanahoria
Constitution Day,2025-02-03,Aguacate Hass
