date,event,scope
2025-01-01,New Year's Day,National holiday
2025-01-06,Day of the Holy Kings,Observance
2025-02-02,Candlemas,Observance
2025-02-03,Constitution Day,National holiday
2025-02-05,Constitution Day,Observance
2025-02-14,Valentine's Day,Observance
2025-02-24,Flag Day,Observance
2025-03-05,Ash Wednesday,"Observance, Christian"
2025-03-17,Benito Juárez's Birthday Memorial,National holiday
2025-03-18,Oil Expropriation Day,Observance
2025-03-20,March Equinox,Season
2025-03-21,Benito Juárez's Birthday Memorial,Observance
2025-04-13,Palm Sunday,"Observance, Christian"
2025-04-17,Maundy Thursday,"National holiday, Christian"
2025-04-18,Good Friday,"National holiday, Christian"
2025-04-19,Holy Saturday,Observance
2025-04-20,Easter Sunday,"Observance, Christian"
2025-04-30,Children's Day,Observance
2025-05-01,Labor Day / May Day,National holiday
2025-05-05,Battle of Puebla (Cinco de Mayo),Common local holiday
2025-05-10,Mothers' Day,Observance
2025-05-15,Teacher's Day,Observance
2025-05-29,Ascension Day,Observance
2025-06-01,Judicial Election Day,National holiday
2025-06-08,Whit Sunday,Observance
2025-06-15,Fathers' Day,Observance
2025-06-19,Corpus Christi,Observance
2025-06-20,June Solstice,Season
2025-08-15,Assumption of Mary,Observance
2025-09-15,Shout of Dolores,Observance
2025-09-16,Independence Day,National holiday
2025-09-22,September Equinox,Season
2025-10-12,Day of Race,Observance
2025-10-31,Halloween,Observance
2025-11-01,All Saints' Day,Observance
2025-11-02,All Souls' Day,Observance
2025-11-17,Revolution Day Memorial,National holiday
2025-11-23,Christ the King Day,Observance
2025-12-08,Feast of the Immaculate Conception,Observance
2025-12-12,Day of the Virgin of Guadalupe,"National holiday, Christian"
2025-12-21,December Solstice,Season
2025-12-24,Christmas Eve,"Observance, Christian"
2025-12-25,Christmas Day,"National holiday, Christian"
2025-12-28,Day of the Holy Innocents,Observance
2025-12-31,New Year's Eve,Observance
