event,producto_relacionado
New Year's Day,Aguacate Hass
New Year's Day,Lima
New Year's Day,Refresco limón 600 ml
New Year's Day,Mandarina
New Year's Day,Jugo de naranja 1 L
New Year's Day,Papaya
New Year's Day,Piña
New Year's Day,Plátano
New Year's Day,Tamarindo
New Year's Day,Toronja (pomelo)
New Year's Day,Zapote negro
New Year's Day,Acelga
New Year's Day,Ajo
New Year's Day,Berenjena
New Year's Day,Betabel
New Year's Day,Calabacita
New Year's Day,Cebolla
New Year's Day,Chile verde (jalapeño/serrano)
New Year's Day,Col (repollo)
New Year's Day,Coliflor
New Year's Day,Espinaca
New Year's Day,Jitomate (tomate rojo)
New Year's Day,Lechuga
New Year's Day,Papas fritas clásicas 170 g
New Year's Day,Pepino
New Year's Day,Tomate verde (tomatillo)
New Year's Day,Zanahoria
Day of the Holy Kings,Aguacate Hass
Day of the Holy Kings,Lima
Day of the Holy Kings,Refresco limón 600 ml
Day of the Holy Kings,Mandarina
Day of the Holy Kings,Jugo de naranja 1 L
Day of the Holy Kings,Papaya
Day of the Holy Kings,Piña
Day of the Holy Kings,Plátano
Day of the Holy Kings,Tamarindo
Day of the Holy Kings,Toronja (pomelo)
Day of the Holy Kings,Zapote negro
Day of the Holy Kings,Acelga
Day of the Holy Kings,Ajo
Day of the Holy Kings,Berenjena
Day of the Holy Kings,Betabel
Day of the Holy Kings,Calabacita
Day of the Holy Kings,Cebolla
Day of the Holy Kings,Chile verde (jalapeño/serrano)
Day of the Holy Kings,Col (repollo)
Day of the Holy Kings,Coliflor
Day of the Holy Kings,Espinaca
Day of the Holy Kings,Jitomate (tomate rojo)
Day of the Holy Kings,Lechuga
Day of the Holy Kings,Papas fritas clásicas 170 g
Day of the Holy Kings,Pepino
Day of the Holy Kings,Tomate verde (tomatillo)
Day of the Holy Kings,Zanahoria
Candlemas,Aguacate Hass
Candlemas,Lima
Candlemas,Refresco limón 600 ml
Candlemas,Mandarina
Candlemas,Jugo de naranja 1 L
Candlemas,Papaya
Candlemas,Piña
Candlemas,Plátano
Candlemas,Tamarindo
Candlemas,Toronja (pomelo)
Candlemas,Acelga
Candlemas,Ajo
Candlemas,Berenjena
Candlemas,Betabel
Candlemas,Calabacita
Candlemas,Cebolla
Candlemas,Chile verde (jalapeño/serrano)
Candlemas,Col (repollo)
Candlemas,Coliflor
Candlemas,Ejote
Candlemas,Espinaca
Candlemas,Jitomate (tomate rojo)
Candlemas,Lechuga
Candlemas,Papas fritas clásicas 170 g
Candlemas,Pepino
Candlemas,Tomate verde (tomatillo)
Candlemas,Zanahoria
Constitution Day,Aguacate Hass
Constitution Day,Lima
Constitution Day,Refresco limón 600 ml
Constitution Day,Mandarina
Constitution Day,Jugo de naranja 1 L
Constitution Day,Papaya
Constitution Day,Piña
Constitution Day,Plátano
Constitution Day,Tamarindo
Constitution Day,Toronja (pomelo)
Constitution Day,Acelga
Constitution Day,Ajo
Constitution Day,Berenjena
Constitution Day,Betabel
Constitution Day,Calabacita
Constitution Day,Cebolla
Constitution Day,Chile verde (jalapeño/serrano)
Constitution Day,Col (repollo)
Constitution Day,Coliflor
Constitution Day,Ejote
Constitution Day,Espinaca
Constitution Day,Jitomate (tomate rojo)
Constitution Day,Lechuga
Constitution Day,Papas fritas clásicas 170 g
Constitution Day,Pepino
