nombre,tipo,temporada_pico
Aguacate,Fruta,Dic-May (alta); disponible todo el año
Ciruela,Fruta,Jul–Ago
Durazno,Fruta,Jul–Sep
Fresa,Fruta,May-Jun
Granada roja,Fruta,Sep–Oct
Guayaba,Fruta,Sep-Dic
Higo,Fruta,Jul–Oct
Lima,Fruta,Nov–Abr
Limón,Fruta,Todo el año (picos Oct-Dic)
Mamey,Fruta,Abr–Jun
Mandarina,Fruta,Nov-Mar
Mango,Fruta,Abr–Ago
Manzana,Fruta,Ago-Oct
Melón,Fruta,Jun-Ago
Naranja,Fruta,Nov–Abr
Papaya,Fruta,Todo el año
Pera,Fruta,Ago-Oct
Piña,Fruta,Todo el año
Plátano,Fruta,Todo el año
Sandía,Fruta,Mar-may
Tamarindo,Fruta,Ene–Abr
Tejocote,Fruta,Oct–Dic
Toronja (pomelo),Fruta,Nov–Abr
Tuna,Fruta,Jul–Sep
Uva,Fruta,Jun–Dic
Zapote negro,Fruta,Ago–Ene
Acelga,Verdura,Todo el año
Ajo,Verdura,Todo el año
Berenjena,Verdura,Ene–May
Berro,Verdura,Jun–Jul
Betabel,Verdura,Todo el año
Calabacita,Verdura,Todo el año
Cebolla,Verdura,Todo el año
Chayote,Verdura,Abr–Oct
Chile poblano,Verdura,Ago–Oct
Chile verde (jalapeño/serrano),Verdura,Ene–Oct
Chícharo,Verdura,Abr-Jun
Col (repollo),Verdura,Todo el año (pico Oct–Abr)
Coliflor,Verdura,Oct–May
Ejote,Verdura,Feb–Nov
Elote (maíz tierno),Verdura,Mar–Nov
Espinaca,Verdura,Todo el año
Jitomate (tomate rojo),Verdura,Todo el año
Lechuga,Verdura,Todo el año
Nopal,Verdura,Mar–May
Papa,Verdura,Todo el año
Pepino,Verdura,Todo el año
Tomate verde (tomatillo),Verdura,Todo el año
Verdolaga,Verdura,Abr-Oct
Zanahoria,Verdura,Todo el año
